Authors	Title	Journal	Vol:Issue:Page	Year	Pubmed_Id	Citation_Number	Authors_Full_Name	First_Author	LastAuthor	Affiliations	Grants
Chen W, Guo Y, Walker EJ, Shen F, Jun K, Oh SP, Degos V, Lawton MT, Tihan T, Davalos D, Akassoglou K, Nelson J, Pile-Spellman J, Su H, Young WL	Reduced mural cell coverage and impaired vessel integrity after angiogenic stimulation in the Alk1-deficient brain.	Arterioscler. Thromb. Vasc. Biol.	33:2:305-10	2013	23241407	NA	Wanqiu Chen, Yi Guo, Espen J Walker, Fanxia Shen, Kristine Jun, S Paul Oh, Vincent Degos, Michael T Lawton, Tarik Tihan, Dimitrios Davalos, Katerina Akassoglou, Jeffrey Nelson, John Pile-Spellman, Hua Su, William L Young	Wanqiu Chen	William L Young	Department of Anesthesia and Perioperative Care, Center for Cerebrovascular Research, University of California, San Francisco, CA 94110, USA	NIGMS NIH HHS; T32 GM008440
Shimazu T, Hirschey MD, Newman J, He W, Shirakawa K, Le Moan N, Grueter CA, Lim H, Saunders LR, Stevens RD, Newgard CB, Farese RV, de Cabo R, Ulrich S, Akassoglou K, Verdin E	Suppression of oxidative stress by β-hydroxybutyrate, an endogenous histone deacetylase inhibitor.	Science	339:6116:211-4	2013	23223453		Tadahiro Shimazu, Matthew D Hirschey, John Newman, Wenjuan He, Kotaro Shirakawa, Natacha Le Moan, Carrie A Grueter, Hyungwook Lim, Laura R Saunders, Robert D Stevens, Christopher B Newgard, Robert V Farese, Rafael de Cabo, Scott Ulrich, Katerina Akassoglou, Eric Verdin	Tadahiro Shimazu	Eric Verdin	Gladstone Institute of Virology and Immunology, San Francisco, CA 94158, USA.	NA
Gut P, Baeza-Raja B, Andersson O, Hasenkamp L, Hsiao J, Hesselson D, Akassoglou K, Verdin E, Hirschey MD, Stainier DY	Whole-organism screening for gluconeogenesis identifies activators of fasting metabolism.	Nat. Chem. Biol.	9:2:97-104	2013	23201900	4	Philipp Gut, Bernat Baeza-Raja, Olov Andersson, Laura Hasenkamp, Joseph Hsiao, Daniel Hesselson, Katerina Akassoglou, Eric Verdin, Matthew D Hirschey, Didier Y R Stainier	Philipp Gut	Didier Y R Stainier	Department of Biochemistry and Biophysics, University of California-San Francisco, San Francisco, California, USA. philipp.gut@ucsf.edu	NIDDK NIH HHS; U01 DK089541
Kwan W, Träger U, Davalos D, Chou A, Bouchard J, Andre R, Miller A, Weiss A, Giorgini F, Cheah C, Möller T, Stella N, Akassoglou K, Tabrizi SJ, Muchowski PJ	Mutant huntingtin impairs immune cell migration in Huntington disease.	J. Clin. Invest.	122:12:4737-47	2012	23160193	1	Wanda Kwan, Ulrike Träger, Dimitrios Davalos, Austin Chou, Jill Bouchard, Ralph Andre, Aaron Miller, Andreas Weiss, Flaviano Giorgini, Christine Cheah, Thomas Möller, Nephi Stella, Katerina Akassoglou, Sarah J Tabrizi, Paul J Muchowski	Wanda Kwan	Paul J Muchowski	Biomedical Sciences Program, UCSF, San Francisco, California, USA.	NINDS NIH HHS; NS066361
Baeza-Raja B, Akassoglou K	Glucose homeostasis and p75NTR: the sweet side of neurotrophin receptor signaling.	Cell Cycle	11:17:3151-2	2012	22894898	0	Bernat Baeza-Raja, Katerina Akassoglou	Bernat Baeza-Raja	Katerina Akassoglou		NINDS NIH HHS; R01 NS051470
Baeza-Raja B, Li P, Le Moan N, Sachs BD, Schachtrup C, Davalos D, Vagena E, Bridges D, Kim C, Saltiel AR, Olefsky JM, Akassoglou K	p75 neurotrophin receptor regulates glucose homeostasis and insulin sensitivity.	Proc. Natl. Acad. Sci. U.S.A.	109:15:5838-43	2012	22460790	NA	Bernat Baeza-Raja, Pingping Li, Natacha Le Moan, Benjamin D Sachs, Christian Schachtrup, Dimitrios Davalos, Eirini Vagena, Dave Bridges, Choel Kim, Alan R Saltiel, Jerrold M Olefsky, Katerina Akassoglou	Bernat Baeza-Raja	Katerina Akassoglou	Gladstone Institute of Neurological Disease, University of California, San Francisco, CA 94158, USA.	NICHD NIH HHS; U54 HD 012303-25
Le Moan N, Baeza-Raja B, Akassoglou K	p75 (NTR) and hypoxia: a breath of fresh air in neurotrophin receptor signaling.	Cell Cycle	11:5:829-30	2012	22333586	NA	Natacha Le Moan, Bernat Baeza-Raja, Katerina Akassoglou	Natacha Le Moan	Katerina Akassoglou		NINDS NIH HHS; R01 NS051470
Pearn ML, Hu Y, Niesman IR, Patel HH, Drummond JC, Roth DM, Akassoglou K, Patel PM, Head BP	Propofol neurotoxicity is mediated by p75 neurotrophin receptor activation.	Anesthesiology	116:2:352-61	2012	22198221	13	Matthew L Pearn, Yue Hu, Ingrid R Niesman, Hemal H Patel, John C Drummond, David M Roth, Katerina Akassoglou, Piyush M Patel, Brian P Head	Matthew L Pearn	Brian P Head	Department of Anesthesiology, University of California, San Diego, La Jolla, California, USA.	NINDS NIH HHS; R01NS051470
Davalos D, Akassoglou K	In vivo imaging of the mouse spinal cord using two-photon microscopy.	J Vis Exp	59:e2760	2012	22258623	NA	Dimitrios Davalos, Katerina Akassoglou	Dimitrios Davalos	Katerina Akassoglou	Gladstone Institute of Neurological Disease, University of California, San Francisco, USA. ddavalos@gladstone.ucsf.edu	NINDS NIH HHS; NS066361
Davalos D, Ryu JK, Merlini M, Baeten KM, Le Moan N, Petersen MA, Deerinck TJ, Smirnoff DS, Bedard C, Hakozaki H, Gonias Murray S, Ling JB, Lassmann H, Degen JL, Ellisman MH, Akassoglou K	Fibrinogen-induced perivascular microglial clustering is required for the development of axonal damage in neuroinflammation.	Nat Commun	3:1227	2012	23187627	6	Dimitrios Davalos, Jae Kyu Ryu, Mario Merlini, Kim M Baeten, Natacha Le Moan, Mark A Petersen, Thomas J Deerinck, Dimitri S Smirnoff, Catherine Bedard, Hiroyuki Hakozaki, Sara Gonias Murray, Jennie B Ling, Hans Lassmann, Jay L Degen, Mark H Ellisman, Katerina Akassoglou	Dimitrios Davalos	Katerina Akassoglou	Gladstone Institute of Neurological Disease, University of California, San Francisco, 1650 Owens Street, San Francisco, CA 94158, USA.	Howard Hughes Medical Institute; 
