Authors	Title	Journal	Vol:Issue:Page	Year	Pubmed_Id	Citation_Number	Authors_Full_Name	First_Author	LastAuthor	Affiliations	Grants
Cheng P, Andersen P, Hassel D, Kaynak BL, Limphong P, Juergensen L, Kwon C, Srivastava D	Fibronectin mediates mesendodermal cell fate decisions.	Development	140:12:2587-96	2013	23715551		Paul Cheng, Peter Andersen, David Hassel, Bogac L Kaynak, Pattraranee Limphong, Lonny Juergensen, Chulan Kwon, Deepak Srivastava	Paul Cheng	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, CA 94158, USA.	NA
Qian L, Berry EC, Fu JD, Ieda M, Srivastava D	Reprogramming of mouse fibroblasts into cardiomyocyte-like cells in vitro.	Nat Protoc	8:6:1204-15	2013	23722259		Li Qian, Emily C Berry, Ji-Dong Fu, Masaki Ieda, Deepak Srivastava	Li Qian	Deepak Srivastava	1] Gladstone Institute of Cardiovascular Disease, San Francisco, California, USA. [2] Roddenberry Center for Stem Cell Biology and Medicine at Gladstone, San Francisco, California, USA. [3] Department of Pediatrics, University of California, San Francisco, California, USA. [4] Department of Biochemistry and Biophysics, University of California, San Francisco, California, USA. [5].	NA
Srivastava D, Heidersbach AJ	Small Solutions to Big Problems: MicroRNAs for Cardiac Regeneration.	Circ. Res.	112:11:1412-4	2013	23704215		Deepak Srivastava, Amy J Heidersbach	Deepak Srivastava	Amy J Heidersbach	From the Gladstone Institute of Cardiovascular Disease and Roddenberry Center for Stem Cell Biology and Medicine at Gladstone, San Francisco, CA; and Departments of Pediatrics and Biochemistry & Biophysics, University of California, San Francisco, CA.	NA
Spindler MJ, Burmeister BT, Huang Y, Hsiao EC, Salomonis N, Scott MJ, Srivastava D, Carnegie GK, Conklin BR	AKAP13 Rho-GEF and PKD-Binding Domain Deficient Mice Develop Normally but Have an Abnormal Response to β-Adrenergic-Induced Cardiac Hypertrophy.	PLoS ONE	8:4:e62705	2013	23658642		Matthew J Spindler, Brian T Burmeister, Yu Huang, Edward C Hsiao, Nathan Salomonis, Mark J Scott, Deepak Srivastava, Graeme K Carnegie, Bruce R Conklin	Matthew J Spindler	Bruce R Conklin	Gladstone Institute of Cardiovascular Disease, San Francisco, California, United States of America ; Graduate Program in Pharmaceutical Sciences and Pharmacogenomics, University of California San Francisco, San Francisco, California, United States of America.	NA
Srivastava D, Cordes Metzler KR	Fending for a braveheart.	EMBO J.	32:9:1211-3	2013	23524853		Deepak Srivastava, Kimberly R Cordes Metzler	Deepak Srivastava	Kimberly R Cordes Metzler	Gladstone Institute of Cardiovascular Disease, Roddenberry Center for Stem Cell Biology and Medicine, and Departments of Pediatrics and Biochemistry & Biophysics, University of California, San Francisco, CA, USA.	NA
Limphong P, Zhang H, Christians E, Liu Q, Riedel M, Ivey K, Cheng P, Mitzelfelt K, Taylor G, Winge D, Srivastava D, Benjamin I	Modeling human protein aggregation cardiomyopathy using murine induced pluripotent stem cells.	Stem Cells Transl Med	2:3:161-6	2013	23430692		Pattraranee Limphong, Huali Zhang, Elisabeth Christians, Qiang Liu, Michael Riedel, Kathryn Ivey, Paul Cheng, Katie Mitzelfelt, Graydon Taylor, Dennis Winge, Deepak Srivastava, Ivor Benjamin	Pattraranee Limphong	Ivor Benjamin	University of Utah School of Medicine, Salt Lake City, UT, USA.	NHLBI NIH HHS; 5R01-HL074370-03
White MP, Rufaihah AJ, Liu L, Ghebremariam YT, Ivey KN, Cooke JP, Srivastava D	Limited gene expression variation in human embryonic stem cell and induced pluripotent stem cell-derived endothelial cells.	Stem Cells	31:1:92-103	2013	23079999		Mark P White, Abdul J Rufaihah, Lei Liu, Yohannes T Ghebremariam, Kathryn N Ivey, John P Cooke, Deepak Srivastava	Mark P White	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, San Francisco, California 94158, USA.	NHLBI NIH HHS; U01HL099775
Plath K, Srivastava D, Alvarez-Buylla A, Tanaka EM, Kriegstein AR	Stem cells in the land of the rising sun: ISSCR 2012.	Cell Stem Cell	11:5:607-14	2012	23122288		Kathrin Plath, Deepak Srivastava, Arturo Alvarez-Buylla, Elly M Tanaka, Arnold R Kriegstein	Kathrin Plath	Arnold R Kriegstein	Department of Biological Chemistry, Jonsson Comprehensive Cancer Center, Molecular Biology Institute, David Geffen School of Medicine, University of California, Los Angeles, Los Angeles, CA 90024, USA.	NA
Vedantham V, Evangelista M, Huang Y, Srivastava D	Spatiotemporal regulation of an Hcn4 enhancer defines a role for Mef2c and HDACs in cardiac electrical patterning.	Dev. Biol.	373:1:149-62	2013	23085412		Vasanth Vedantham, Melissa Evangelista, Yu Huang, Deepak Srivastava	Vasanth Vedantham	Deepak Srivastava	Gladstone Institute of Cardiovascular Disease, University of California, San Francisco, CA 94158, USA. vedanthamv@medicine.ucsf.edu	NHLBI NIH HHS; U01 HL100406
Srivastava D, Ieda M, Fu J, Qian L	Cardiac repair with thymosin β4 and cardiac reprogramming factors.	Ann. N. Y. Acad. Sci.	1270:66-72	2012	23050819		Deepak Srivastava, Masaki Ieda, Jidong Fu, Li Qian	Deepak Srivastava	Li Qian	Gladstone Institute of Cardiovascular Disease, San Francisco, California 94158, USA. dsrivastava@gladstone.ucsf.edu	NHLBI NIH HHS; U01 HL100406
